city,province,year,total_precipitation_mm,total_rain_mm,total_snowfall_cm,total_precip_hours,rainy_days,heavy_rain_days_gt25mm,very_heavy_days_gt50mm,extreme_days_gt100mm,max_daily_precip_mm,avg_daily_precip_mm
Dera Ghazi Khan,Punjab,2000,111.3,111.3,0.0,173.0,54,0,0,0,16.6,0.3
Dera Ghazi Khan,Punjab,2001,188.5,188.5,0.0,277.0,75,0,0,0,19.7,0.52
Dera Ghazi Khan,Punjab,2002,114.6,114.6,0.0,184.0,64,0,0,0,16.1,0.31
Dera Ghazi Khan,Punjab,2003,242.2,242.2,0.0,348.0,73,1,0,0,26.1,0.66
Dera Ghazi Khan,Punjab,2004,165.4,165.4,0.0,230.0,69,1,0,0,31.7,0.45
Dera Ghazi Khan,Punjab,2005,248.9,248.9,0.0,375.0,100,0,0,0,15.1,0.68
Dera Ghazi Khan,Punjab,2006,265.8,265.8,0.0,397.0,108,0,0,0,16.1,0.73
Dera Ghazi Khan,Punjab,2007,260.3,260.3,0.0,391.0,101,0,0,0,17.8,0.71
Dera Ghazi Khan,Punjab,2008,333.0,333.0,0.0,429.0,89,2,1,0,54.3,0.91
Dera Ghazi Khan,Punjab,2009,112.5,112.5,0.0,219.0,84,0,0,0,8.9,0.31
Dera Ghazi Khan,Punjab,2010,459.9,459.9,0.0,435.0,76,5,2,0,72.2,1.26
Dera Ghazi Khan,Punjab,2011,368.7,368.7,0.0,436.0,87,2,0,0,41.7,1.01
Dera Ghazi Khan,Punjab,2012,356.3,356.3,0.0,407.0,84,4,1,0,65.5,0.97
Dera Ghazi Khan,Punjab,2013,263.5,263.5,0.0,380.0,89,2,0,0,30.4,0.72
Dera Ghazi Khan,Punjab,2014,134.2,134.2,0.0,237.0,79,0,0,0,17.8,0.37
Dera Ghazi Khan,Punjab,2015,506.6,506.6,0.0,488.0,102,5,0,0,49.5,1.39
Dera Ghazi Khan,Punjab,2016,207.7,207.7,0.0,329.0,90,1,0,0,30.2,0.57
Dera Ghazi Khan,Punjab,2017,279.8,279.8,0.0,306.0,92,1,0,0,34.6,0.77
Dera Ghazi Khan,Punjab,2018,78.8,78.8,0.0,118.0,46,0,0,0,11.7,0.22
Dera Ghazi Khan,Punjab,2019,351.0,351.0,0.0,408.0,91,2,0,0,32.7,0.96
Dera Ghazi Khan,Punjab,2020,390.9,390.9,0.0,411.0,73,4,1,0,98.6,1.07
Dera Ghazi Khan,Punjab,2021,76.1,76.1,0.0,133.0,47,0,0,0,7.3,0.21
Dera Ghazi Khan,Punjab,2022,639.7,639.7,0.0,504.0,76,8,2,0,54.9,1.75
Dera Ghazi Khan,Punjab,2023,262.0,262.0,0.0,247.0,70,0,0,0,22.9,0.72
Dera Ghazi Khan,Punjab,2024,377.2,377.2,0.0,360.0,80,3,0,0,31.5,1.03
Dera Ghazi Khan,Punjab,2025,157.9,157.9,0.0,163.0,52,1,0,0,38.1,0.43
Faisalabad,Punjab,2000,414.0,414.0,0.0,570.0,118,0,0,0,22.9,1.13
Faisalabad,Punjab,2001,498.9,498.9,0.0,619.0,119,1,0,0,33.3,1.37
Faisalabad,Punjab,2002,372.3,372.3,0.0,523.0,134,1,0,0,37.6,1.02
Faisalabad,Punjab,2003,499.1,499.1,0.0,652.0,131,3,0,0,32.9,1.37
Faisalabad,Punjab,2004,362.2,362.2,0.0,500.0,130,2,0,0,32.9,0.99
Faisalabad,Punjab,2005,491.0,491.0,0.0,674.0,139,1,0,0,28.7,1.35
Faisalabad,Punjab,2006,536.5,536.5,0.0,640.0,133,3,1,0,55.0,1.47
Faisalabad,Punjab,2007,580.1,580.1,0.0,690.0,142,4,1,0,59.6,1.59
Faisalabad,Punjab,2008,569.9,569.9,0.0,658.0,149,3,1,0,69.4,1.56
Faisalabad,Punjab,2009,336.6,336.6,0.0,447.0,108,1,0,0,26.2,0.92
Faisalabad,Punjab,2010,515.0,515.0,0.0,678.0,143,2,1,0,52.1,1.41
Faisalabad,Punjab,2011,477.7,477.7,0.0,673.0,153,2,0,0,29.1,1.31
Faisalabad,Punjab,2012,491.3,491.3,0.0,654.0,140,2,0,0,31.5,1.34
Faisalabad,Punjab,2013,615.1,615.1,0.0,710.0,132,4,1,0,80.0,1.69
Faisalabad,Punjab,2014,517.2,517.2,0.0,607.0,134,3,1,0,85.5,1.42
Faisalabad,Punjab,2015,809.8,809.8,0.0,855.0,161,2,2,1,132.3,2.22
Faisalabad,Punjab,2016,389.7,389.7,0.0,540.0,123,2,0,0,29.6,1.06
Faisalabad,Punjab,2017,344.4,344.4,0.0,541.0,128,1,0,0,25.8,0.94
Faisalabad,Punjab,2018,299.7,299.7,0.0,475.0,110,0,0,0,21.4,0.82
Faisalabad,Punjab,2019,424.5,424.5,0.0,686.0,138,0,0,0,18.7,1.16
Faisalabad,Punjab,2020,536.7,536.7,0.0,701.0,125,4,0,0,40.2,1.47
Faisalabad,Punjab,2021,214.0,214.0,0.0,312.0,78,0,0,0,21.9,0.59
Faisalabad,Punjab,2022,549.8,549.8,0.0,539.0,104,5,1,0,50.7,1.51
Faisalabad,Punjab,2023,581.6,581.6,0.0,467.0,120,4,1,0,56.6,1.59
Faisalabad,Punjab,2024,636.4,636.4,0.0,482.0,122,6,0,0,38.7,1.74
Faisalabad,Punjab,2025,412.9,412.9,0.0,417.0,92,4,0,0,39.8,1.13
