city,province,year,month,total_precipitation_mm,total_rain_mm,total_snowfall_cm,total_precip_hours,rainy_days,max_daily_precip_mm,avg_daily_precip_mm
Dera Ghazi Khan,Punjab,2000,1,10.9,10.9,0.0,20.0,3,5.8,0.35
Dera Ghazi Khan,Punjab,2000,2,18.7,18.7,0.0,24.0,3,16.1,0.64
Dera Ghazi Khan,Punjab,2000,3,0.0,0.0,0.0,0.0,0,0.0,0.0
Dera Ghazi Khan,Punjab,2000,4,2.2,2.2,0.0,2.0,1,2.2,0.07
Dera Ghazi Khan,Punjab,2000,5,7.7,7.7,0.0,11.0,6,2.4,0.25
Dera Ghazi Khan,Punjab,2000,6,7.1,7.1,0.0,18.0,10,1.5,0.24
Dera Ghazi Khan,Punjab,2000,7,52.1,52.1,0.0,68.0,18,16.6,1.68
Dera Ghazi Khan,Punjab,2000,8,6.5,6.5,0.0,12.0,7,3.0,0.21
Dera Ghazi Khan,Punjab,2000,9,2.2,2.2,0.0,5.0,5,1.1,0.07
Dera Ghazi Khan,Punjab,2000,10,0.0,0.0,0.0,0.0,0,0.0,0.0
Dera Ghazi Khan,Punjab,2000,11,0.0,0.0,0.0,0.0,0,0.0,0.0
Dera Ghazi Khan,Punjab,2000,12,3.9,3.9,0.0,13.0,1,3.9,0.13
Dera Ghazi Khan,Punjab,2001,1,0.2,0.2,0.0,1.0,1,0.2,0.01
Dera Ghazi Khan,Punjab,2001,2,0.5,0.5,0.0,3.0,3,0.3,0.02
Dera Ghazi Khan,Punjab,2001,3,1.5,1.5,0.0,7.0,3,0.6,0.05
Dera Ghazi Khan,Punjab,2001,4,20.7,20.7,0.0,26.0,5,15.3,0.69
Dera Ghazi Khan,Punjab,2001,5,10.7,10.7,0.0,20.0,9,2.6,0.35
Dera Ghazi Khan,Punjab,2001,6,41.9,41.9,0.0,42.0,15,13.4,1.4
Dera Ghazi Khan,Punjab,2001,7,63.1,63.1,0.0,91.0,18,19.7,2.04
Dera Ghazi Khan,Punjab,2001,8,37.4,37.4,0.0,59.0,11,9.1,1.21
Dera Ghazi Khan,Punjab,2001,9,11.8,11.8,0.0,25.0,8,3.7,0.39
Dera Ghazi Khan,Punjab,2001,10,0.3,0.3,0.0,1.0,1,0.3,0.01
Dera Ghazi Khan,Punjab,2001,11,0.0,0.0,0.0,0.0,0,0.0,0.0
Dera Ghazi Khan,Punjab,2001,12,0.4,0.4,0.0,2.0,1,0.4,0.01
Dera Ghazi Khan,Punjab,2002,1,0.0,0.0,0.0,0.0,0,0.0,0.0
Dera Ghazi Khan,Punjab,2002,2,4.7,4.7,0.0,11.0,4,2.9,0.17
Dera Ghazi Khan,Punjab,2002,3,11.6,11.6,0.0,26.0,6,6.2,0.37
Dera Ghazi Khan,Punjab,2002,4,4.0,4.0,0.0,9.0,3,2.4,0.13
Dera Ghazi Khan,Punjab,2002,5,12.0,12.0,0.0,13.0,7,9.0,0.39
Dera Ghazi Khan,Punjab,2002,6,10.9,10.9,0.0,24.0,12,2.3,0.36
Dera Ghazi Khan,Punjab,2002,7,2.2,2.2,0.0,3.0,2,2.1,0.07
Dera Ghazi Khan,Punjab,2002,8,12.0,12.0,0.0,23.0,7,5.2,0.39
Dera Ghazi Khan,Punjab,2002,9,47.1,47.1,0.0,52.0,15,16.1,1.57
Dera Ghazi Khan,Punjab,2002,10,2.0,2.0,0.0,3.0,2,1.7,0.06
Dera Ghazi Khan,Punjab,2002,11,3.2,3.2,0.0,11.0,3,2.6,0.11
Dera Ghazi Khan,Punjab,2002,12,4.9,4.9,0.0,9.0,3,3.8,0.16
Dera Ghazi Khan,Punjab,2003,1,1.1,1.1,0.0,6.0,1,1.1,0.04
Dera Ghazi Khan,Punjab,2003,2,23.9,23.9,0.0,37.0,5,13.3,0.85
Dera Ghazi Khan,Punjab,2003,3,6.6,6.6,0.0,11.0,3,5.0,0.21
Dera Ghazi Khan,Punjab,2003,4,1.4,1.4,0.0,5.0,3,0.7,0.05
Dera Ghazi Khan,Punjab,2003,5,2.4,2.4,0.0,4.0,2,1.2,0.08
Dera Ghazi Khan,Punjab,2003,6,7.9,7.9,0.0,13.0,6,2.2,0.26
Dera Ghazi Khan,Punjab,2003,7,115.8,115.8,0.0,153.0,21,26.1,3.74
Dera Ghazi Khan,Punjab,2003,8,67.2,67.2,0.0,88.0,19,10.6,2.17
Dera Ghazi Khan,Punjab,2003,9,15.7,15.7,0.0,29.0,12,6.6,0.52
Dera Ghazi Khan,Punjab,2003,10,0.0,0.0,0.0,0.0,0,0.0,0.0
Dera Ghazi Khan,Punjab,2003,11,0.0,0.0,0.0,0.0,0,0.0,0.0
Dera Ghazi Khan,Punjab,2003,12,0.2,0.2,0.0,2.0,1,0.2,0.01
Dera Ghazi Khan,Punjab,2004,1,10.1,10.1,0.0,29.0,4,4.7,0.33
Dera Ghazi Khan,Punjab,2004,2,3.1,3.1,0.0,8.0,1,3.1,0.11
Dera Ghazi Khan,Punjab,2004,3,0.0,0.0,0.0,0.0,0,0.0,0.0
Dera Ghazi Khan,Punjab,2004,4,1.7,1.7,0.0,5.0,4,1.1,0.06
Dera Ghazi Khan,Punjab,2004,5,2.0,2.0,0.0,3.0,3,1.3,0.06
Dera Ghazi Khan,Punjab,2004,6,15.4,15.4,0.0,22.0,13,3.9,0.51
Dera Ghazi Khan,Punjab,2004,7,12.2,12.2,0.0,18.0,10,4.6,0.39
