city,province,month,avg_monthly_precip_mm,median_monthly_precip,max_monthly_precip_mm,min_monthly_precip_mm,std_monthly_precip_mm,avg_rainy_days,month_name
Dera Ghazi Khan,Punjab,1,7.15,3.4,33.1,0.0,9.36,3.23,Jan
Dera Ghazi Khan,Punjab,2,13.23,7.05,44.0,0.0,14.53,4.85,Feb
Dera Ghazi Khan,Punjab,3,18.2,13.4,100.5,0.0,22.06,6.5,Mar
Dera Ghazi Khan,Punjab,4,9.61,5.9,37.1,0.0,10.16,5.46,Apr
Dera Ghazi Khan,Punjab,5,7.54,6.25,27.3,0.0,6.06,6.04,May
Dera Ghazi Khan,Punjab,6,20.28,12.65,81.9,3.0,20.44,9.46,Jun
Dera Ghazi Khan,Punjab,7,70.24,41.85,350.5,2.2,79.71,14.31,Jul
Dera Ghazi Khan,Punjab,8,79.34,61.25,260.5,3.9,73.94,15.04,Aug
Dera Ghazi Khan,Punjab,9,28.98,15.8,182.0,0.5,43.14,9.04,Sep
Dera Ghazi Khan,Punjab,10,2.97,1.3,15.5,0.0,4.33,2.23,Oct
Dera Ghazi Khan,Punjab,11,1.75,0.0,14.1,0.0,3.75,1.31,Nov
Dera Ghazi Khan,Punjab,12,8.11,2.65,71.6,0.0,15.92,1.42,Dec
Faisalabad,Punjab,1,18.62,16.75,60.0,0.0,17.43,5.81,Jan
Faisalabad,Punjab,2,31.21,24.65,107.2,1.8,27.92,8.42,Feb
Faisalabad,Punjab,3,39.06,23.25,136.8,0.3,38.95,9.96,Mar
Faisalabad,Punjab,4,22.19,22.65,56.1,0.2,17.16,9.92,Apr
Faisalabad,Punjab,5,17.34,15.05,46.9,1.8,11.14,11.5,May
Faisalabad,Punjab,6,49.57,38.2,123.6,6.0,37.25,13.23,Jun
Faisalabad,Punjab,7,108.54,105.1,252.4,41.6,55.4,21.23,Jul
Faisalabad,Punjab,8,100.43,91.35,248.2,26.5,54.73,22.12,Aug
Faisalabad,Punjab,9,62.48,50.6,183.9,7.3,47.08,13.35,Sep
Faisalabad,Punjab,10,13.04,10.65,38.5,0.0,11.4,5.5,Oct
Faisalabad,Punjab,11,9.21,7.6,39.5,0.0,9.42,3.38,Nov
Faisalabad,Punjab,12,8.17,4.4,38.6,0.0,10.24,2.73,Dec
Gujranwala,Punjab,1,44.29,35.15,140.6,1.1,34.19,8.0,Jan
Gujranwala,Punjab,2,65.22,46.9,172.2,4.9,50.8,10.31,Feb
Gujranwala,Punjab,3,58.18,40.6,198.3,1.3,52.7,9.81,Mar
Gujranwala,Punjab,4,37.61,27.6,123.0,1.7,32.78,11.58,Apr
Gujranwala,Punjab,5,23.11,20.25,67.5,7.6,14.67,12.08,May
Gujranwala,Punjab,6,73.53,59.85,244.8,5.0,61.16,13.92,Jun
Gujranwala,Punjab,7,200.18,192.8,458.5,105.9,75.71,25.69,Jul
Gujranwala,Punjab,8,187.78,170.3,421.8,52.5,81.79,26.19,Aug
Gujranwala,Punjab,9,82.04,83.1,267.7,23.2,48.07,15.0,Sep
Gujranwala,Punjab,10,24.39,14.65,83.0,0.0,24.53,5.81,Oct
Gujranwala,Punjab,11,20.0,16.35,64.1,0.0,17.79,3.81,Nov
Gujranwala,Punjab,12,16.7,11.25,64.6,0.1,16.68,4.23,Dec
Khanewal,Punjab,1,8.74,5.35,38.5,0.0,9.75,4.0,Jan
Khanewal,Punjab,2,16.83,7.95,90.0,0.2,21.33,5.85,Feb
Khanewal,Punjab,3,21.53,16.65,103.1,0.0,25.85,6.54,Mar
Khanewal,Punjab,4,12.29,7.2,49.9,0.0,13.12,5.73,Apr
Khanewal,Punjab,5,12.71,7.8,52.2,0.0,12.63,7.35,May
Khanewal,Punjab,6,29.11,16.15,103.4,2.5,27.96,9.38,Jun
Khanewal,Punjab,7,69.03,57.35,204.3,2.0,49.59,15.46,Jul
Khanewal,Punjab,8,59.8,49.8,201.9,8.6,48.73,14.92,Aug
Khanewal,Punjab,9,24.87,21.35,132.6,0.7,29.04,7.96,Sep
Khanewal,Punjab,10,7.4,1.05,47.5,0.0,12.56,2.77,Oct
Khanewal,Punjab,11,2.75,0.4,19.2,0.0,4.9,1.96,Nov
Khanewal,Punjab,12,7.96,2.0,33.9,0.0,10.7,2.04,Dec
Lahore,Punjab,1,28.82,29.05,91.6,0.3,21.58,6.85,Jan
Lahore,Punjab,2,40.2,24.4,137.0,1.1,38.45,8.27,Feb
